feature,importance
depth,1651.3350782367343
parent_tag,963.1139003261924
text_length,754.7789298706412
has_class,684.2983586075716
num_siblings,641.5855943070383
letter_ratio,528.660705226881
whitespace_ratio,354.4795104586883
digit_ratio,316.5844107910525
word_count,227.2544834909495
tag,188.73482234030962
contains_time,163.66751138865948
same_parent_as_next,46.99603740358725
same_parent_as_prev,37.21760531980544
ends_with_digit,30.99517486989498
prev_contains_time,10.215425729751587
starts_with_digit,9.825759802013636
prev_contains_date,8.699221029877663
contains_date,5.719646690413356
next_contains_date,3.5242789201438427
next_contains_time,2.007223479449749
text_has_word_date,0.0
attr_has_word_time,0.0
attr_has_word_date,0.0
has_id,0.0
attr_has_word_location,0.0
text_word_time,0.0
text_word_location,0.0
