feature,importance
depth,2282.445578503961
has_class,955.073749310337
num_siblings,660.4440969492496
letter_ratio,585.9886704631281
parent_tag,552.0356370434165
digit_ratio,433.2651444765652
text_length,410.634901619771
word_count,252.72409292246448
contains_time,234.57812767475843
whitespace_ratio,233.2607068108009
tag,205.69187290221453
same_parent_as_prev,40.28463562205434
same_parent_as_next,26.093492809450254
next_contains_time,22.26583045348525
prev_contains_time,18.579547613859177
ends_with_digit,12.381556157022715
prev_contains_date,8.623089723289013
starts_with_digit,2.7532776966691017
contains_date,1.4649174809455872
next_contains_date,0.22022351110354066
text_has_word_date,0.0
attr_has_word_time,0.0
attr_has_word_date,0.0
has_id,0.0
attr_has_word_location,0.0
text_word_time,0.0
text_word_location,0.0
