text_context,label,event_id,is_event_member,rendering_order,parent_index,depth,contains_date,contains_time,text_length,score,row_id,pred_cluster
02/12/2026 5:00pm to 6:30pm,DateTime,1.0,1,154,153,11,True,True,27,0.9855589090330062,175,1
12/15/2025 1:04pm,Other,,0,164,163,11,True,True,17,0.8006215254734882,179,1
02/19/2026 11:00am to 2:00pm,DateTime,2.0,1,167,166,11,True,True,28,0.9558977228900295,180,1
10/15/2025 2:04pm,Other,,0,177,176,11,True,True,17,0.779159865132325,184,1
02/24/2026 10:00am to 1:30pm,DateTime,3.0,1,180,179,11,True,True,28,0.9625226334638614,185,1
06/02/2025 10:54am,Other,,0,190,189,11,True,True,18,0.7857712137688009,189,1
02/24/2026 11:30am to 1:30pm,DateTime,4.0,1,193,192,11,True,True,28,0.9558977228900295,190,1
04/23/2025 10:28am,Other,,0,203,202,11,True,True,18,0.8761872097244104,194,1
02/27/2026 9:00am to 11:00am,DateTime,5.0,1,206,205,11,True,True,28,0.9679198545889122,195,1
03/04/2025 10:25am,Other,,0,216,215,11,True,True,18,0.8672594645912876,199,1
03/02/2026 6:00pm to 8:00pm,DateTime,6.0,1,219,218,11,True,True,27,0.9855589090330062,200,1
strivescan credit required (included in event registration),Other,,0,227,226,11,False,False,59,0.7605334849137402,203,1
08/18/2025 2:00pm,Other,,0,229,228,11,True,True,17,0.8635047091037346,204,1
03/03/2026 10:24am to 12:43pm,DateTime,7.0,1,232,231,11,True,True,29,0.9455438377946631,205,1
09/23/2025 12:09pm,Other,,0,242,241,11,True,True,18,0.8732463407733353,209,1
03/03/2026 6:00pm to 7:30pm,DateTime,8.0,1,245,244,11,True,True,27,0.9484903178678733,210,1
strivescan credit required (included in event registration),Other,,0,253,252,11,False,False,59,0.7605334849137402,213,1
12/02/2025 2:44pm,Other,,0,255,254,11,True,True,17,0.8432635583821598,214,1
03/04/2026 2:00pm to 3:30pm,DateTime,9.0,1,258,257,11,True,True,27,0.9856546468493115,215,1
12/19/2025 2:04pm,Other,,0,268,267,11,True,True,17,0.8006215254734882,219,1
03/04/2026 5:00pm to 6:30pm,DateTime,10.0,1,271,270,11,True,True,27,0.9798844121648392,220,1
02/21/2025 1:56pm,Other,,0,281,280,11,True,True,17,0.779159865132325,224,1
03/05/2026 9:30am to 11:00am,DateTime,11.0,1,284,283,11,True,True,28,0.9827178374933756,225,1
strivescan credit required (included in event registration),Other,,0,292,291,11,False,False,59,0.767228523955521,228,1
05/06/2025 2:50pm,Other,,0,294,293,11,True,True,17,0.788613754445869,229,1
03/05/2026 12:15pm to 1:45pm,DateTime,12.0,1,297,296,11,True,True,28,0.9729280117801936,230,1
08/06/2025 11:38am,Other,,0,307,306,11,True,True,18,0.8732463407733353,234,1
03/05/2026 1:00pm to 3:00pm,DateTime,13.0,1,310,309,11,True,True,27,0.9824697667047552,235,1
01/13/2026 12:55pm,Other,,0,320,319,11,True,True,18,0.810661587117179,239,1
03/05/2026 6:00pm to 8:00pm,DateTime,14.0,1,323,322,11,True,True,27,0.9425590128266097,240,1
strivescan credit required (included in event registration),Other,,0,331,330,11,False,False,59,0.7311751350075767,243,1
01/15/2025 8:40am,Other,,0,333,332,11,True,True,17,0.8801009409986239,244,1
