feature,importance
depth,1886.1084361090907
parent_tag,1033.383396692574
num_siblings,648.3055518729307
letter_ratio,583.7701879385859
text_length,492.14875930683047
has_class,478.8097288873978
tag,317.64907137304544
digit_ratio,295.9386014319025
whitespace_ratio,277.88464299659245
word_count,164.02744488650933
contains_time,145.6873590350151
same_parent_as_next,53.64498111791909
same_parent_as_prev,27.640555422462057
contains_date,14.009095445275307
prev_contains_time,10.605295740067959
next_contains_time,9.37583340704441
prev_contains_date,9.313857667148113
ends_with_digit,8.558217704296112
starts_with_digit,8.118277357891202
next_contains_date,8.007739249616861
text_has_word_date,0.0
attr_has_word_time,0.0
attr_has_word_date,0.0
has_id,0.0
attr_has_word_location,0.0
text_word_time,0.0
text_word_location,0.0
