feature,importance
depth,2202.097844451113
parent_tag,1210.2439553439617
letter_ratio,664.1948322708777
text_length,525.1620228441316
whitespace_ratio,429.70230879829614
has_class,412.11825053580105
digit_ratio,369.57955646771006
num_siblings,327.51358463882934
contains_time,186.70877395570278
word_count,112.17737455340102
tag,99.16941492259502
same_parent_as_next,29.23744782526046
same_parent_as_prev,27.982591323554516
contains_date,23.103121794760227
prev_contains_time,12.640992183238268
next_contains_date,11.486251056194305
ends_with_digit,9.091129548847675
prev_contains_date,7.994031384587288
starts_with_digit,7.916398469358683
next_contains_time,3.658861566334963
text_has_word_date,0.0
attr_has_word_time,0.0
attr_has_word_date,0.0
has_id,0.0
attr_has_word_location,0.0
text_word_time,0.0
text_word_location,0.0
