text_context,label,event_id,is_event_member,rendering_order,parent_index,depth,contains_date,contains_time,text_length,score,row_id,pred_cluster
sacac leads 2026 - session 2,NameLink,1.0,1,508,507,27,False,False,28,0.9952415231457937,913,1
9:00 am - 11:00 am,StartEndTime,1.0,1,509,506,26,False,True,18,0.9989431874836892,914,1
mississippi drive-in workshop & advocacy day,NameLink,2.0,1,529,528,27,False,False,44,0.9954223413574386,919,2
8:30 am - 3:00 pm,StartEndTime,2.0,1,530,527,26,False,True,17,0.9965809029588095,920,2
register,Date,3.0,1,535,534,26,False,False,8,0.0736359207590838,922,2
private school counselor special interest group (sig) meeting,StartEndTime,3.0,1,551,550,27,False,False,61,0.9921898727264132,926,3
11:30 am - 12:30 pm,Description,3.0,1,552,549,26,False,True,19,0.9989296245860255,927,3
"details to come! questions or concerns? contact sara bayliss (sbayliss@jpiichs.org), sig coordinator.",Date,4.0,1,555,549,26,False,False,101,0.9947834007459836,928,3
register,Date,4.0,1,557,556,26,False,False,8,0.019186663503168815,929,3
governance & nominating committee meeting,Description,4.0,1,573,572,27,False,False,41,0.9889473090011939,933,4
9:00 am - 1:00 pm,Date,5.0,1,574,571,26,False,True,17,0.9987879508930101,934,4
wed,Date,5.0,1,582,581,27,False,False,3,0.9954086658440634,935,5
february,Date,5.0,1,585,584,28,False,False,8,0.9915400153118911,936,5
february,Date,5.0,1,585,584,28,False,False,8,0.9915400153118911,936,5
8:30 am - 12:30 pm,Description,5.0,1,594,591,26,False,True,18,0.9986333282269427,939,5
register,Date,6.0,1,598,597,26,False,False,8,0.04606359234735789,940,5
tennessee voices in action virtual event,StartEndTime,6.0,1,614,613,27,False,False,40,0.9977592795902285,944,6
10:00 am - 1:00 pm,Description,6.0,1,615,612,26,False,True,18,0.9966713779089847,945,6
register,Date,7.0,1,620,619,26,False,False,8,0.01754679336354839,947,6
georgia virtual drive-in workshop,Description,7.0,1,636,635,27,False,False,33,0.9942740718716929,951,7
11:30 am - 2:15 pm,Date,8.0,1,637,634,26,False,True,18,0.9967880135149536,952,7
register,Date,8.0,1,641,640,26,False,False,8,0.03501231912281383,953,7
tue,Date,8.0,1,646,645,27,False,False,3,0.9967122234051864,954,8
february,NameLink,8.0,1,649,648,28,False,False,8,0.990847133359355,955,8
10,StartEndTime,8.0,1,651,650,28,False,False,2,0.9901527219451215,956,8
