feature,importance
depth,2004.3357929917838
parent_tag,871.3664942607284
digit_ratio,663.366568005571
letter_ratio,610.1993693242839
text_length,599.3199232885381
whitespace_ratio,429.7400020518835
has_class,373.1937643745914
word_count,339.06672296253964
num_siblings,304.57955629588105
tag,232.21500976383686
contains_time,202.85816873051226
same_parent_as_next,37.05040563948569
same_parent_as_prev,29.913505068048835
next_contains_time,22.84829020872712
starts_with_digit,21.77538327127695
prev_contains_date,15.22210275940597
contains_date,8.16440741228871
prev_contains_time,5.645801976323128
ends_with_digit,4.950160898268223
next_contains_date,3.0346868857741356
text_has_word_date,0.0
attr_has_word_time,0.0
attr_has_word_date,0.0
has_id,0.0
attr_has_word_location,0.0
text_word_time,0.0
text_word_location,0.0
