feature,importance
depth,1824.8316978044313
has_class,554.9369961062912
num_siblings,497.5008088810973
letter_ratio,493.4060754507009
text_length,449.8713187208705
parent_tag,436.8015430048108
contains_time,266.6608219817281
whitespace_ratio,258.65146373186144
digit_ratio,249.9519871484954
tag,152.95147637277842
word_count,132.8647662862204
same_parent_as_prev,27.77464193420019
same_parent_as_next,26.608554097358137
contains_date,11.078168438281864
starts_with_digit,7.045442521572113
next_contains_time,5.968199260532856
prev_contains_time,4.712761681526899
prev_contains_date,3.457325827330351
next_contains_date,1.4827755708247423
ends_with_digit,0.23105650022625923
text_has_word_date,0.0
attr_has_word_time,0.0
attr_has_word_date,0.0
has_id,0.0
attr_has_word_location,0.0
text_word_time,0.0
text_word_location,0.0
