feature,importance
depth,1799.1071500886464
has_class,994.5598126333207
letter_ratio,669.124625435521
text_length,639.0430227051256
parent_tag,393.6939507946372
num_siblings,357.66826125164516
whitespace_ratio,343.1716492055275
digit_ratio,328.8155770181911
word_count,318.7116823636461
tag,255.1886983588338
contains_time,117.43288168311119
same_parent_as_next,62.94135682028718
contains_date,39.751026443205774
same_parent_as_prev,34.93564316944685
prev_contains_time,13.267194792628288
next_contains_time,9.135594509541988
ends_with_digit,9.090437572449446
prev_contains_date,7.449833555147052
starts_with_digit,2.7442434690892696
next_contains_date,2.462338998913765
text_has_word_date,0.0
attr_has_word_time,0.0
attr_has_word_date,0.0
has_id,0.0
attr_has_word_location,0.0
text_word_time,0.0
text_word_location,0.0
