text_context,label,event_id,is_event_member,rendering_order,parent_index,depth,contains_date,contains_time,text_length,score,row_id,pred_cluster
"inside new england - $160,",Other,,0,465,462,15,False,False,26,0.2550585441136091,2084,1
"secondary schools and parents, please view our",Other,,0,484,483,18,False,False,46,0.8335536909832838,2094,2
we hope you can join us!,Other,,0,494,493,18,False,False,24,0.5918851090906679,2097,2
start time,Other,,0,511,510,20,False,False,10,0.3534495076677004,2101,3
end time,Other,,0,514,513,20,False,False,8,0.5352240297106935,2102,3
"city, state",Other,,0,520,519,20,False,False,11,0.3985302459873563,2104,3
colleges attending,Other,,0,523,522,20,False,False,18,0.29259454148651587,2105,3
southern new hampshire university,Name,1.0,1,527,526,20,False,False,33,0.9057601257516753,2106,3
"tuesday, september 16th",Date,1.0,1,528,524,18,True,False,23,0.9996400902971809,2107,3
9am,StartTime,1.0,1,530,529,19,False,True,3,0.9985382812492855,2108,3
11am,EndTime,1.0,1,532,531,19,False,True,4,0.9985887126893191,2109,3
athletic complex,Location,1.0,1,535,534,20,False,False,16,0.8881223507694257,2110,3
"manchester, nh",Location,1.0,1,538,537,20,False,False,14,0.9695645222692736,2111,3
"manchester, nh",Location,1.0,1,538,537,20,False,False,14,0.9695645222692736,2111,3
click here,Other,,0,540,539,19,False,False,10,0.22120539836728892,2112,3
university of new england,Name,2.0,1,543,542,19,False,False,25,0.9992080346170052,2113,3
"wednesday, september 17th",Date,2.0,1,544,541,18,True,False,25,0.9995957387256639,2114,3
9am,StartTime,2.0,1,546,545,19,False,True,3,0.996711631179867,2115,3
11am,EndTime,2.0,1,548,547,19,False,True,4,0.9977572625090272,2116,3
harold alfond forum,Location,2.0,1,551,550,20,False,False,19,0.9220948104973822,2117,3
"biddeford, me",Location,2.0,1,553,552,19,False,False,13,0.9964831601901196,2118,3
"biddeford, me",Location,2.0,1,553,552,19,False,False,13,0.9964831601901196,2118,3
university of maine orono,Name,3.0,1,559,558,19,False,False,25,0.998516046794842,2120,3
"thursday, september 18th",Date,3.0,1,560,557,18,True,False,24,0.9996534576509208,2121,3
9am,StartTime,3.0,1,562,561,19,False,True,3,0.9984202708123702,2122,3
11am,EndTime,3.0,1,564,563,19,False,True,4,0.9990395259582966,2123,3
new balance recreation center,Location,3.0,1,565,557,18,False,False,29,0.9978510366596629,2124,3
"orono, me",Location,3.0,1,567,566,19,False,False,9,0.9213830971060655,2125,3
"orono, me",Location,3.0,1,567,566,19,False,False,9,0.9213830971060655,2125,3
