feature,importance
depth,1695.1621241982648
has_class,748.664914669469
parent_tag,725.9850863516331
letter_ratio,667.0401181952329
text_length,485.2717827640299
num_siblings,428.52378482081986
word_count,422.8239408936206
tag,312.76090608909726
digit_ratio,296.2862233472988
whitespace_ratio,214.3816624962492
contains_time,96.67242144048214
contains_date,19.788297597318888
same_parent_as_prev,18.444916165433824
prev_contains_date,15.40889973891899
same_parent_as_next,14.804012716282159
ends_with_digit,12.73289605975151
prev_contains_time,6.430909547256306
next_contains_time,6.083612395916134
next_contains_date,1.4691179990768433
starts_with_digit,1.291286125779152
text_has_word_date,0.0
attr_has_word_time,0.0
attr_has_word_date,0.0
has_id,0.0
attr_has_word_location,0.0
text_word_time,0.0
text_word_location,0.0
