feature,importance
depth,1698.7595823048796
parent_tag,1298.7526661716402
num_siblings,628.1140251995675
text_length,614.1227285618515
letter_ratio,530.673686726921
whitespace_ratio,385.0347517120608
word_count,372.8412180222804
has_class,362.14606622979045
digit_ratio,271.7232722051849
tag,256.2723096832633
contains_time,199.85065840184689
same_parent_as_prev,39.04102398676332
contains_date,31.42660390213132
same_parent_as_next,28.215741960098967
prev_contains_date,14.749633803963661
next_contains_date,10.414707228541374
next_contains_time,8.821418793871999
prev_contains_time,7.433647945523262
starts_with_digit,5.959430776536465
ends_with_digit,2.6922395080327988
text_has_word_date,0.0
attr_has_word_time,0.0
attr_has_word_date,0.0
has_id,0.0
attr_has_word_location,0.0
text_word_time,0.0
text_word_location,0.0
