feature,importance
depth,1495.042185977305
has_class,1006.67869684787
parent_tag,622.9424597285688
text_length,587.2773891405614
num_siblings,529.7042108420428
letter_ratio,481.07127926358953
digit_ratio,450.82717846968444
word_count,333.69354622554965
tag,239.3871749341488
whitespace_ratio,200.04017540115456
contains_time,167.73386695981026
same_parent_as_next,29.252296556078363
same_parent_as_prev,28.323292650282383
ends_with_digit,13.048774976283312
contains_date,8.86611736100167
prev_contains_date,8.191111482679844
next_contains_time,4.8211499117314816
prev_contains_time,2.014533407986164
next_contains_date,1.8108223229646683
text_has_word_date,0.0
attr_has_word_location,0.0
attr_has_word_time,0.0
attr_has_word_date,0.0
has_id,0.0
starts_with_digit,0.0
text_word_time,0.0
text_word_location,0.0
