feature,importance
depth,2080.5798331691476
has_class,865.5603316682391
digit_ratio,571.2564037991688
num_siblings,502.78563277098147
text_length,502.21214417355077
parent_tag,448.1937279738486
letter_ratio,410.6163411230664
whitespace_ratio,399.7448620200157
word_count,344.0645153792575
contains_time,163.4676337391138
tag,154.47573713958263
same_parent_as_prev,48.559122044127434
same_parent_as_next,41.58390417526243
contains_date,37.54930676333606
next_contains_date,26.772677551954985
prev_contains_date,17.77740592509508
starts_with_digit,17.643310397863388
ends_with_digit,8.548070635646582
next_contains_time,6.305881254374981
prev_contains_time,6.10663840174675
text_has_word_date,0.0
attr_has_word_time,0.0
attr_has_word_date,0.0
has_id,0.0
attr_has_word_location,0.0
text_word_time,0.0
text_word_location,0.0
