feature,importance
depth,2191.6035872799694
parent_tag,801.5805088803172
letter_ratio,730.6926964262384
has_class,708.9937952253968
text_length,565.3808554216157
num_siblings,459.2043742248352
whitespace_ratio,359.7685266001354
digit_ratio,308.65199307119474
tag,230.57739981263876
word_count,181.40127151005436
contains_time,120.25025275349617
same_parent_as_prev,74.04776629374828
same_parent_as_next,33.140000734478235
ends_with_digit,13.634029280394316
next_contains_time,13.161188434809446
prev_contains_time,12.910327598452568
prev_contains_date,8.359023049473763
starts_with_digit,5.502827605232596
next_contains_date,4.384824402630329
contains_date,0.786287896335125
text_has_word_date,0.0
attr_has_word_time,0.0
attr_has_word_date,0.0
has_id,0.0
attr_has_word_location,0.0
text_word_time,0.0
text_word_location,0.0
